segment,neighbour,fr_to_nb_eur,nb_to_fr_eur,net_for_france_eur,balance_index,theta_scale,gamma
all,ES,5.24485e+08,1.94994e+08,-3.29491e+08,-0.457958,1.25,0
all,AD,6.92481e+06,304943,-6.61987e+06,-0.915642,1.25,0
all,BE,2.14723e+09,2.55724e+09,4.10014e+08,0.0871541,1.25,2
all,LU,5.48469e+08,6.74845e+08,1.26376e+08,0.103306,1.25,2
all,DE,2.42257e+09,1.51112e+09,-9.11454e+08,-0.231704,1.25,2
all,CH,1.14331e+09,1.88864e+09,7.45338e+08,0.245828,1.25,2
all,IT,1.68043e+08,2.35274e+08,6.72311e+07,0.166695,1.25,2
all,MC,5.38121e+07,3.35754e+07,-2.02367e+07,-0.231574,1.25,2
all,ES,6.54076e+08,1.4742e+08,-5.06656e+08,-0.632139,1.25,2
all,AD,7.75208e+06,245825,-7.50626e+06,-0.938528,1.25,2
all,BE,2.21134e+09,2.49708e+09,2.85743e+08,0.0606876,1.25,3
all,LU,5.21852e+08,7.12718e+08,1.90865e+08,0.154601,1.25,3
all,DE,2.55744e+09,1.47288e+09,-1.08456e+09,-0.2691,1.25,3
all,CH,9.07311e+08,2.31582e+09,1.40851e+09,0.437,1.25,3
all,IT,1.82037e+08,2.24305e+08,4.22679e+07,0.10402,1.25,3
all,MC,5.32661e+07,3.32016e+07,-2.00645e+07,-0.232046,1.25,3
all,ES,7.28225e+08,1.28352e+08,-5.99873e+08,-0.700315,1.25,3
all,AD,8.19772e+06,222285,-7.97544e+06,-0.947201,1.25,3
all,BE,2.4453e+09,3.16138e+09,7.16085e+08,0.12772,1.6,0
all,LU,7.00739e+08,7.13792e+08,1.30535e+07,0.00922813,1.6,0
all,DE,2.52157e+09,1.92482e+09,-5.96741e+08,-0.134208,1.6,0
all,CH,2.03768e+09,1.4745e+09,-5.6318e+08,-0.160351,1.6,0
all,IT,1.75487e+08,3.08499e+08,1.33012e+08,0.274825,1.6,0
all,MC,6.84385e+07,3.57975e+07,-3.2641e+07,-0.313145,1.6,0
all,ES,6.15665e+08,2.42111e+08,-3.73554e+08,-0.435491,1.6,0
all,AD,7.88497e+06,387502,-7.49747e+06,-0.906315,1.6,0
all,BE,2.58937e+09,3.02377e+09,4.34397e+08,0.0773892,1.6,2
all,LU,6.35629e+08,7.90587e+08,1.54958e+08,0.10865,1.6,2
all,DE,2.8101e+09,1.83172e+09,-9.78378e+08,-0.210775,1.6,2
all,CH,1.3562e+09,2.2594e+09,9.03201e+08,0.249807,1.6,2
all,IT,2.04026e+08,2.79966e+08,7.59398e+07,0.156903,1.6,2
all,MC,6.70676e+07,3.50983e+07,-3.19693e+07,-0.312916,1.6,2
all,ES,7.61397e+08,1.83935e+08,-5.77462e+08,-0.610856,1.6,2
all,AD,8.75223e+06,312536,-8.43969e+06,-0.931044,1.6,2
all,BE,2.66419e+09,2.95655e+09,2.92356e+08,0.0520139,1.6,3
all,LU,6.05375e+08,8.29545e+08,2.24169e+08,0.156224,1.6,3
all,DE,2.96269e+09,1.78851e+09,-1.17418e+09,-0.247133,1.6,3
all,CH,1.08468e+09,2.73535e+09,1.65067e+09,0.432108,1.6,3
all,IT,2.20597e+08,2.67264e+08,4.66672e+07,0.0956566,1.6,3
all,MC,6.62955e+07,3.46802e+07,-3.16152e+07,-0.313097,1.6,3
all,ES,8.44007e+08,1.60474e+08,-6.83533e+08,-0.680484,1.6,3
all,AD,9.21243e+06,282657,-8.92977e+06,-0.940462,1.6,3
