segment,origin,dest_country,dest_type,eur
everyday,MC,ES,city_centre,0
everyday,MC,ES,commercial_zone,0
everyday,MC,FR,city_centre,1.86663e+07
everyday,MC,FR,commercial_zone,1.23262e+06
everyday,MC,IT,city_centre,2.89678e+06
everyday,MC,IT,commercial_zone,0
everyday,MC,LU,city_centre,0
everyday,MC,LU,commercial_zone,0
everyday,MC,MC,city_centre,1.03836e+07
comparison,AD,AD,city_centre,1.24506e+08
comparison,AD,BE,city_centre,0
comparison,AD,BE,commercial_zone,0
comparison,AD,CH,city_centre,0
comparison,AD,CH,commercial_zone,0
comparison,AD,DE,city_centre,0
comparison,AD,DE,commercial_zone,0
comparison,AD,ES,city_centre,300496
comparison,AD,ES,commercial_zone,0
comparison,AD,FR,city_centre,47009.8
comparison,AD,FR,commercial_zone,109819
comparison,AD,IT,city_centre,0
comparison,AD,IT,commercial_zone,0
comparison,AD,LU,city_centre,0
comparison,AD,LU,commercial_zone,0
comparison,AD,MC,city_centre,0
comparison,BE,AD,city_centre,0
comparison,BE,BE,city_centre,5.22335e+09
comparison,BE,BE,commercial_zone,1.44186e+09
comparison,BE,CH,city_centre,0
comparison,BE,CH,commercial_zone,0
comparison,BE,DE,city_centre,1.88307e+07
comparison,BE,DE,commercial_zone,494792
comparison,BE,ES,city_centre,0
comparison,BE,ES,commercial_zone,0
comparison,BE,FR,city_centre,7.31666e+08
comparison,BE,FR,commercial_zone,3.10661e+08
comparison,BE,IT,city_centre,0
comparison,BE,IT,commercial_zone,0
comparison,BE,LU,city_centre,9.14882e+07
comparison,BE,LU,commercial_zone,4.45854e+07
comparison,BE,MC,city_centre,0
comparison,CH,AD,city_centre,0
comparison,CH,BE,city_centre,0
comparison,CH,BE,commercial_zone,0
comparison,CH,CH,city_centre,6.42249e+09
comparison,CH,CH,commercial_zone,7.17345e+08
comparison,CH,DE,city_centre,3.80856e+08
comparison,CH,DE,commercial_zone,8.46643e+06
comparison,CH,ES,city_centre,0
comparison,CH,ES,commercial_zone,0
comparison,CH,FR,city_centre,4.54721e+08
comparison,CH,FR,commercial_zone,3.17012e+08
comparison,CH,IT,city_centre,1.30228e+06
comparison,CH,IT,commercial_zone,0
comparison,CH,LU,city_centre,0
comparison,CH,LU,commercial_zone,0
comparison,CH,MC,city_centre,0
comparison,DE,AD,city_centre,0
comparison,DE,BE,city_centre,1.80596e+06
comparison,DE,BE,commercial_zone,5.23856e+06
comparison,DE,CH,city_centre,1.56154e+08
comparison,DE,CH,commercial_zone,5.94993e+06
comparison,DE,DE,city_centre,8.14425e+09
comparison,DE,DE,commercial_zone,9.27339e+08
comparison,DE,ES,city_centre,0
comparison,DE,ES,commercial_zone,0
comparison,DE,FR,city_centre,4.87027e+08
comparison,DE,FR,commercial_zone,2.98167e+08
comparison,DE,IT,city_centre,0
comparison,DE,IT,commercial_zone,0
comparison,DE,LU,city_centre,6.5692e+07
comparison,DE,LU,commercial_zone,2.44235e+07
comparison,DE,MC,city_centre,0
comparison,ES,AD,city_centre,2.80842e+07
comparison,ES,BE,city_centre,0
comparison,ES,BE,commercial_zone,0
comparison,ES,CH,city_centre,0
comparison,ES,CH,commercial_zone,0
comparison,ES,DE,city_centre,0
comparison,ES,DE,commercial_zone,0
comparison,ES,ES,city_centre,1.70327e+09
comparison,ES,ES,commercial_zone,1.98668e+08
comparison,ES,FR,city_centre,5.15788e+07
comparison,ES,FR,commercial_zone,2.67945e+07
comparison,ES,IT,city_centre,0
comparison,ES,IT,commercial_zone,0
comparison,ES,LU,city_centre,0
comparison,ES,LU,commercial_zone,0
comparison,ES,MC,city_centre,0
comparison,FR,AD,city_centre,4.73091e+06
comparison,FR,BE,city_centre,6.71741e+08
comparison,FR,BE,commercial_zone,2.38985e+08
comparison,FR,CH,city_centre,3.40499e+08
comparison,FR,CH,commercial_zone,1.86574e+07
comparison,FR,DE,city_centre,7.93004e+08
comparison,FR,DE,commercial_zone,7.42888e+07
comparison,FR,ES,city_centre,2.16313e+08
comparison,FR,ES,commercial_zone,2.31158e+07
comparison,FR,FR,city_centre,9.49437e+09
comparison,FR,FR,commercial_zone,5.35334e+09
comparison,FR,IT,city_centre,5.7637e+07
comparison,FR,IT,commercial_zone,1.40533e+06
comparison,FR,LU,city_centre,1.24897e+08
comparison,FR,LU,commercial_zone,5.02489e+07
comparison,FR,MC,city_centre,1.15702e+07
comparison,IT,AD,city_centre,0
comparison,IT,BE,city_centre,0
comparison,IT,BE,commercial_zone,0
comparison,IT,CH,city_centre,633847
comparison,IT,CH,commercial_zone,59663.6
comparison,IT,DE,city_centre,0
comparison,IT,DE,commercial_zone,0
comparison,IT,ES,city_centre,0
comparison,IT,ES,commercial_zone,0
comparison,IT,FR,city_centre,1.08821e+08
comparison,IT,FR,commercial_zone,3.00625e+07
comparison,IT,IT,city_centre,2.13982e+09
comparison,IT,IT,commercial_zone,5.50855e+08
comparison,IT,LU,city_centre,0
comparison,IT,LU,commercial_zone,0
comparison,IT,MC,city_centre,4.39786e+06
comparison,LU,AD,city_centre,0
comparison,LU,BE,city_centre,5.19143e+07
comparison,LU,BE,commercial_zone,9.58355e+07
comparison,LU,CH,city_centre,0
comparison,LU,CH,commercial_zone,0
comparison,LU,DE,city_centre,3.82983e+08
