code,LAU_NAME,dist_km,neighbour,band,pop,fuel,large_food,non_food,small_food,est24,emp24,emp12,est12,emp24_big,tobacconists
55452,Saint-Amand-sur-Ornain,96.63821516396126,Belgium,75–100,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55453,Saint-André-en-Barrois,56.82099336350977,Belgium,50–75,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55454,Saint-Aubin-sur-Aire,87.16129630104504,Belgium,75–100,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55456,Saint-Germain-sur-Meuse,91.49326544655425,Luxembourg,75–100,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55457,Saint-Hilaire-en-Woëvre,46.10794509977223,Luxembourg,30–50,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55458,Saint-Jean-lès-Buzy,36.20389475360242,Luxembourg,30–50,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55459,Saint-Joire,101.84551213209502,Belgium,,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55460,Saint-Julien-sous-les-Côtes,74.73349922641859,Luxembourg,50–75,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54297,Laneuveville-aux-Bois,60.556423622572204,Germany,50–75,300.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
54298,Laneuveville-derrière-Foug,83.58951805226548,Luxembourg,75–100,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54299,Laneuveville-devant-Bayon,84.7883644712721,Germany,75–100,231.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54300,Laneuveville-devant-Nancy,68.13950137861107,Germany,50–75,6630.0,0.0,1.0,5.0,6.0,9.0,33.0,27.0,10.0,15.0,1.0
54301,Lanfroicourt,50.92414182835292,Germany,50–75,133.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
54302,Lantéfontaine,23.042824387898406,Luxembourg,20–30,730.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54303,Laronxe,69.79157513450039,Germany,50–75,361.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54304,Laxou,70.25001264430543,Germany,50–75,14771.0,5.0,5.0,36.0,26.0,58.0,688.0,808.0,59.0,386.0,3.0
54305,Lay-Saint-Christophe,60.65793104583735,Germany,50–75,2355.0,0.0,0.0,1.0,3.0,3.0,11.0,13.0,4.0,0.0,1.0
54306,Lay-Saint-Remy,87.21633841275357,Luxembourg,75–100,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54307,Lebeuville,89.09443398290723,Germany,75–100,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54308,Leintrey,58.26360033282858,Germany,50–75,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54309,Lemainville,83.31715940701254,Germany,75–100,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54310,Leménil-Mitry,86.52309880179101,Germany,75–100,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54311,Lenoncourt,63.340951250545906,Germany,50–75,593.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
54312,Lesménils,52.07334603894265,Germany,50–75,506.0,0.0,0.0,2.0,1.0,1.0,14.0,7.0,2.0,0.0,0.0
54313,Létricourt,46.00898277788372,Germany,30–50,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54314,Lexy,4.152185597002978,Belgium,0–10,3904.0,0.0,3.0,25.0,9.0,37.0,509.0,108.0,12.0,228.0,0.0
54315,Leyr,52.74032557537984,Germany,50–75,906.0,0.0,0.0,0.0,1.0,1.0,8.0,6.0,1.0,0.0,0.0
54316,Limey-Remenauville,62.32806398314865,Luxembourg,50–75,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54317,Lironville,65.19818707436693,Luxembourg,50–75,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54318,Liverdun,67.34639908021416,Germany,50–75,5580.0,1.0,2.0,9.0,3.0,10.0,68.0,55.0,10.0,44.0,2.0
54320,Loisy,56.71591165574319,Germany,50–75,322.0,2.0,0.0,0.0,0.0,2.0,35.0,21.0,1.0,0.0,0.0
54595,Xermaménil,72.01689224501858,Germany,50–75,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54596,Xeuilley,82.14529081683895,Germany,75–100,959.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54597,Xirocourt,91.36985327970106,Germany,75–100,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54598,Xivry-Circourt,17.448625818558064,Luxembourg,10–20,266.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
54599,Xonville,44.890083460758404,Luxembourg,30–50,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54600,Xousse,55.97529110600893,Germany,50–75,115.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
54601,Xures,52.941474472353846,Germany,50–75,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54602,Han-devant-Pierrepont,14.269644217415827,Belgium,10–20,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55001,Abainville,107.63437901713885,Belgium,,280.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0
55002,Abaucourt-Hautecourt,33.53627252900654,Belgium,30–50,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55004,Aincreville,29.162682813149395,Belgium,20–30,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55005,Amanty,107.8956373517579,Luxembourg,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55007,Ambly-sur-Meuse,52.782190864234636,Belgium,50–75,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55008,Amel-sur-l'Étang,27.80313979347374,Belgium,20–30,153.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
55009,Ancemont,48.698127654949054,Belgium,30–50,527.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55010,Ancerville,100.28132991799603,Belgium,,2569.0,0.0,0.0,0.0,4.0,5.0,11.0,48.0,5.0,0.0,1.0
55011,Andernay,88.00376900374503,Belgium,75–100,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55012,Apremont-la-Forêt,72.65111981675967,Luxembourg,50–75,427.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
55013,Arrancy-sur-Crusnes,10.920312069159436,Belgium,10–20,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55014,Aubréville,46.19117684231046,Belgium,30–50,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55015,Aulnois-en-Perthois,99.68763042299898,Belgium,75–100,462.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,1.0,0.0,1.0
56222,Saint-Jean-Brévelay,503.90946629326186,Spain,,2869.0,1.0,1.0,4.0,4.0,3.0,59.0,35.0,5.0,52.0,2.0
56223,Saint-Jean-la-Poterie,478.5090991543986,Spain,,1429.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
56224,Saint-Laurent-sur-Oust,491.46275549407545,Belgium,,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56225,Saint-Léry,465.92416307311856,Belgium,,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56226,Saint-Malo-de-Beignon,469.62705981826076,Belgium,,537.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56227,Saint-Malo-des-Trois-Fontaines,482.7747593618549,Belgium,,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56228,Saint-Marcel,495.2197341856938,Belgium,,1155.0,1.0,1.0,0.0,1.0,2.0,78.0,63.0,4.0,72.0,1.0
56229,Saint-Martin-sur-Oust,491.4194832794599,Belgium,,1312.0,0.0,0.0,1.0,3.0,3.0,7.0,10.0,5.0,0.0,1.0
56230,Saint-Nicolas-du-Tertre,486.43658944381235,Belgium,,469.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
56231,Saint-Nolff,490.2062131597573,Spain,,3990.0,1.0,0.0,2.0,7.0,6.0,53.0,35.0,5.0,0.0,1.0
56232,Saint-Perreux,480.94377030605233,Spain,,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56233,Saint-Philibert,481.07221997166573,Spain,,1575.0,0.0,0.0,3.0,2.0,4.0,45.0,19.0,5.0,0.0,1.0
56234,Saint-Pierre-Quiberon,477.44062664293216,Spain,,2344.0,0.0,0.0,7.0,9.0,10.0,28.0,17.0,7.0,0.0,1.0
56236,Saint-Servant,493.2196983346282,Belgium,,806.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56237,Saint-Thuriau,509.43292065829286,Belgium,,1885.0,0.0,0.0,4.0,3.0,6.0,43.0,32.0,6.0,0.0,1.0
56238,Saint-Tugdual,528.6807197898422,Belgium,,376.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
56239,Saint-Vincent-sur-Oust,484.6197861847311,Spain,,1679.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0
56240,Sarzeau,470.5310372161821,Spain,,9212.0,2.0,6.0,43.0,21.0,51.0,277.0,201.0,44.0,69.0,4.0
56241,Sauzon,460.54933509213095,Spain,,1036.0,0.0,0.0,3.0,2.0,3.0,4.0,10.0,3.0,0.0,1.0
56242,Séglien,515.8604376701649,Belgium,,673.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56243,Séné,481.4040071071678,Spain,,9554.0,2.0,5.0,39.0,18.0,54.0,394.0,304.0,50.0,158.0,3.0
55461,Saint-Laurent-sur-Othain,11.729420167733519,Belgium,10–20,435.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55462,Saint-Maurice-sous-les-Côtes,54.34843796648757,Luxembourg,50–75,371.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
55463,Saint-Mihiel,67.67841360801769,Belgium,50–75,3772.0,2.0,3.0,16.0,9.0,17.0,73.0,62.0,22.0,36.0,5.0
55464,Saint-Pierrevillers,15.791245172234536,Belgium,10–20,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55465,Saint-Remy-la-Calonne,51.796512558417696,Belgium,50–75,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55466,Salmagne,82.84847422112931,Belgium,75–100,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55467,Sampigny,75.355492424392,Belgium,75–100,692.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0
55468,Samogneux,28.036506365109705,Belgium,20–30,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55469,Sassey-sur-Meuse,22.215753616597393,Belgium,20–30,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55470,Saudrupt,94.23026298080164,Belgium,75–100,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55471,Saulmory-Villefranche,21.714761488447145,Belgium,20–30,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55472,Saulvaux,90.10207933522291,Belgium,75–100,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55473,Saulx-lès-Champlon,48.14732667894889,Belgium,30–50,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55474,Sauvigny,104.20445789574043,Germany,,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55475,Sauvoy,94.33688376737663,Luxembourg,75–100,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55476,Savonnières-devant-Bar,85.91487489835099,Belgium,75–100,430.0,1.0,1.0,5.0,0.0,6.0,135.0,193.0,7.0,115.0,0.0
